OBJ File,OBJ ID,English Name,Japanese Name,FMA ID,Category,Region,Headache Importance,Headache Type,Recommended Blender Collection,Description,BBox(mm),Buildup,Mirror,Vertices,Faces
FJ2915.obj,FJ2915,Left apical segmental artery,,FMA8634,Vessel,Other,,None,Others,,26.2×20.1×73.1,part_of,,,
FJ2915.obj,FJ2915,Left apical segmental artery,,FMA8634,Vessel,Other,,None,Others,,26.2×20.1×73.1,is_a,,,
FJ2916.obj,FJ2916,Left apical segmental artery,,FMA8634,Vessel,Other,,None,Others,,7.1×19.9×40.4,part_of,,,
FJ2916.obj,FJ2916,Left apical segmental artery,,FMA8634,Vessel,Other,,None,Others,,7.1×19.9×40.4,is_a,,,
FJ2917.obj,FJ2917,Left apical segmental artery,,FMA8634,Vessel,Neck,,None,Others,,23.9×3.7×15,part_of,,,
FJ2917.obj,FJ2917,Left apical segmental artery,,FMA8634,Vessel,Neck,,None,Others,,23.9×3.7×15,is_a,,,
FJ2918.obj,FJ2918,Left apical segmental artery,,FMA8634,Vessel,Other,,None,Others,,9.2×8.2×16.5,part_of,,,
FJ2918.obj,FJ2918,Left apical segmental artery,,FMA8634,Vessel,Other,,None,Others,,9.2×8.2×16.5,is_a,,,
FJ2919.obj,FJ2919,Left posterior basal segmental artery,,FMA8647,Vessel,Other,,None,Others,,14.9×40.9×38.5,part_of,,,
FJ2919.obj,FJ2919,Left posterior basal segmental artery,,FMA8647,Vessel,Other,,None,Others,,14.9×40.9×38.5,is_a,,,
FJ2920.obj,FJ2920,Left posterior basal segmental artery,,FMA8647,Vessel,Other,,None,Others,,12.2×17×41,part_of,,,
FJ2920.obj,FJ2920,Left posterior basal segmental artery,,FMA8647,Vessel,Other,,None,Others,,12.2×17×41,is_a,,,
FJ2921.obj,FJ2921,Left lateral basal segmental artery,,FMA8646,Vessel,Other,,None,Others,,60.8×33×108.9,part_of,,,
FJ2921.obj,FJ2921,Left lateral basal segmental artery,,FMA8646,Vessel,Other,,None,Others,,60.8×33×108.9,is_a,,,
FJ2922.obj,FJ2922,Left lateral basal segmental artery,,FMA8646,Vessel,Other,,None,Others,,19.3×10×69,part_of,,,
FJ2922.obj,FJ2922,Left lateral basal segmental artery,,FMA8646,Vessel,Other,,None,Others,,19.3×10×69,is_a,,,
FJ2923.obj,FJ2923,Left lateral basal segmental artery,,FMA8646,Vessel,Other,,None,Others,,5.9×8.9×35.3,part_of,,,
FJ2923.obj,FJ2923,Left lateral basal segmental artery,,FMA8646,Vessel,Other,,None,Others,,5.9×8.9×35.3,is_a,,,
FJ2924.obj,FJ2924,Left pulmonary artery,,FMA50873,Vessel,Other,,None,Others,,64.3×78.5×67.8,part_of,,,
FJ2924.obj,FJ2924,Left pulmonary artery,,FMA50873,Vessel,Other,,None,Others,,64.3×78.5×67.8,is_a,,,
FJ2925.obj,FJ2925,Left superior pulmonary vein,,FMA49916,Vessel,Other,,None,Others,,20.4×17.5×21.8,part_of,,,
FJ2925.obj,FJ2925,Left superior pulmonary vein,,FMA49916,Vessel,Other,,None,Others,,20.4×17.5×21.8,is_a,,,
FJ2926.obj,FJ2926,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,37.9×14.8×6.1,part_of,,,
FJ2926.obj,FJ2926,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,37.9×14.8×6.1,is_a,,,
FJ2927.obj,FJ2927,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,7.6×36×35,part_of,,,
FJ2927.obj,FJ2927,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,7.6×36×35,is_a,,,
FJ2928.obj,FJ2928,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,38.6×43.3×8.1,part_of,,,
FJ2928.obj,FJ2928,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,38.6×43.3×8.1,is_a,,,
FJ2929.obj,FJ2929,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,12×11.3×4.5,part_of,,,
FJ2929.obj,FJ2929,Left posterior segmental vein,,FMA9438,Vessel,Other,,None,Others,,12×11.3×4.5,is_a,,,
FJ2930.obj,FJ2930,Left anterior segmental vein,,FMA8667,Vessel,Other,,None,Others,,52.7×44.4×14.5,part_of,,,
FJ2930.obj,FJ2930,Left anterior segmental vein,,FMA8667,Vessel,Other,,None,Others,,52.7×44.4×14.5,is_a,,,
